,,,,
Model,Accuracy,AUC,F1,McFadden_R2
LASSO,0.928571429,0.917066667,0.705882353,0.154171157
Logistic Regression,0.935714286,0.909066667,0.689655172,-0.234856154
Gradient Boosting,0.928571429,0.909066667,0.642857143,0.156162035
